sat_sum,fy_gpa
1270,3.18
1220,3.33
1160,3.25
950,2.42
1070,2.63
1110,2.91
1220,2.83
1150,2.51
1440,3.82
850,2.54
1280,3.38
1020,3.02
880,2.6
1080,3.81
1200,3.02
1120,3.48
970,2.15
1210,3.8
1030,3.13
1020,3.4
1400,3.59
720,1.62
1170,3.61
1070,2.54
860,2.51
920,0.0
1350,3.72
910,0.87
980,2.79
800,2.0
1070,3.69
1320,3.48
900,2.49
1200,3.92
1260,3.05
830,2.4
1330,2.71
1070,1.58
810,1.38
1240,2.52
820,2.16
1140,2.57
1170,2.64
870,2.47
1010,1.0
760,2.73
810,2.42
830,2.3
1240,3.33
910,2.37
1230,2.11
1100,2.91
970,3.29
1090,2.67
1300,2.78
1070,3.13
1040,2.94
1320,4.0
1230,2.9
890,2.92
960,1.91
920,3.11
1260,2.02
1060,2.51
1040,3.51
990,3.24
1040,2.02
1300,2.65
950,1.74
1090,1.54
1020,2.34
1270,2.49
1160,2.49
1050,2.08
1130,2.19
880,1.8
750,2.22
1200,2.95
1010,2.67
1060,2.89
1010,2.66
1080,2.18
1090,2.81
940,2.06
1170,2.8
920,2.59
990,2.33
1100,3.55
1270,2.75
930,3.59
790,1.54
1080,2.98
740,1.28
960,1.24
1170,2.93
1050,2.48
1250,2.98
1090,1.17
1010,2.04
1200,2.37
1080,3.0
1200,2.98
1070,2.55
970,1.86
1140,2.09
1360,2.89
1260,3.38
1170,3.94
1160,2.28
1310,2.43
1090,2.77
1040,3.33
1070,2.39
890,2.37
1280,3.82
1270,3.63
1190,1.78
1070,3.22
1410,2.42
1250,3.82
1070,3.6
910,1.84
1230,3.3
1290,3.7
1100,2.89
820,2.38
990,2.97
1010,3.37
1210,3.18
860,1.33
1210,3.0
1240,3.75
970,2.24
930,2.44
1250,2.72
1200,1.69
1110,3.19
850,3.1
1130,2.71
1370,3.45
970,3.36
980,1.0
1240,3.08
1040,3.16
1330,3.66
1220,3.82
1340,3.94
1160,3.79
1030,2.91
950,2.33
1000,3.06
1020,1.91
990,2.47
1140,2.96
1090,2.13
700,1.98
1230,3.64
1030,0.6
870,2.39
1130,1.95
1150,3.37
930,3.02
880,1.03
1050,3.42
1230,3.31
1370,2.31
1230,2.61
900,0.0
1330,3.24
1120,3.48
710,2.26
920,2.4
1110,3.76
1100,1.14
1070,1.47
970,2.0
1020,1.13
900,1.7
860,1.14
1030,2.54
1020,1.64
880,2.95
1220,3.17
880,1.12
930,1.72
1040,1.91
940,3.0
1120,3.2
1310,3.25
1280,2.26
900,2.73
1150,2.47
1190,3.19
920,1.38
1090,2.8
1130,2.52
1080,2.53
760,2.24
670,1.43
850,2.06
1050,3.52
840,1.58
700,0.82
1290,2.21
980,1.18
1150,3.64
920,2.37
820,1.18
1230,3.19
1030,1.59
1180,3.14
1070,3.63
1150,3.13
1200,3.09
980,2.21
1190,2.86
1010,1.16
1150,3.89
1330,3.89
880,1.45
1060,2.69
1000,2.27
1030,2.25
1190,3.36
1180,2.32
1100,2.91
1230,3.77
1120,3.04
890,1.44
1020,2.07
1150,2.69
1000,2.67
1050,1.97
920,1.08
770,0.92
720,1.7
1140,3.0
1100,3.34
920,1.69
1300,3.37
930,1.52
990,2.73
1030,1.91
1300,2.98
740,2.33
850,1.79
980,3.48
1040,1.63
1080,2.33
1170,3.35
1330,3.43
890,1.71
1040,3.19
930,1.69
1110,3.08
650,1.43
1210,2.79
920,1.7
950,3.23
820,2.12
1080,3.67
1330,3.94
970,1.4
940,1.9
790,1.56
1100,1.85
1150,3.0
880,2.37
880,2.31
1250,3.77
910,2.35
1200,3.79
1040,2.54
1170,2.19
890,2.36
930,2.05
870,2.19
1050,1.8
1180,3.23
1000,0.48
1080,2.02
1100,2.44
940,1.77
1040,3.2
1080,2.15
1100,2.6
1150,3.38
1060,0.55
1030,3.76
950,3.06
960,1.7
1200,2.62
1090,1.65
1060,1.89
810,0.77
1150,3.24
1030,2.93
1240,3.57
1080,2.72
1010,2.4
980,2.03
1050,2.21
1180,2.15
980,1.75
940,2.04
900,1.15
980,1.79
1270,3.63
940,2.0
1180,3.13
1010,2.67
770,2.24
840,3.04
910,3.27
860,3.28
1090,2.56
1110,2.85
1120,3.38
1190,2.84
1020,3.22
1230,2.24
920,2.08
930,2.67
870,2.13
1370,3.55
1080,1.5
1000,2.54
1070,1.19
980,2.08
810,0.0
930,1.69
890,2.26
1100,3.13
930,1.73
810,2.58
1020,2.09
1250,3.0
1150,2.04
1250,2.94
870,2.31
1150,2.63
1120,2.79
980,1.9
970,3.0
1030,1.83
1020,2.33
1080,3.24
1120,2.7
980,1.5
930,3.0
1120,2.34
1240,3.44
1080,1.88
1170,2.86
740,2.56
810,1.49
1060,2.5
990,1.83
1120,2.38
770,1.82
890,2.12
1060,2.59
1100,2.59
900,2.02
930,2.93
930,2.24
1080,2.19
1010,1.95
1280,3.54
1230,2.86
1040,2.17
950,2.3
1000,2.48
880,3.02
1060,3.14
1150,2.22
870,3.27
770,2.47
1030,2.85
1020,3.77
910,2.91
1030,2.61
1030,3.78
1000,1.19
1220,2.37
1140,3.69
1020,1.73
970,2.48
1090,2.35
1020,1.95
1140,3.46
1030,2.27
980,2.14
1070,3.34
940,2.42
1190,3.22
1180,1.3
1080,1.79
860,2.8
900,2.8
1180,0.8
920,2.45
1020,2.33
820,1.76
830,2.88
1020,2.52
1070,1.54
900,2.66
1020,3.16
1070,1.94
940,2.91
1130,2.37
1250,3.67
1090,4.0
990,2.94
1030,1.37
880,2.13
1030,2.68
1020,2.71
800,1.57
1090,2.38
1260,1.16
1170,2.81
1050,2.52
840,1.72
920,2.23
1120,1.43
980,1.54
1150,3.24
1080,2.18
940,1.77
1100,2.16
870,2.49
1150,3.74
1030,3.29
790,1.37
1120,3.83
1300,2.9
1120,2.2
1120,2.11
840,3.15
990,2.65
880,1.98
1130,2.93
1040,3.1
960,3.34
1110,2.75
1020,2.9
1150,2.06
820,1.87
1030,2.8
940,1.38
1120,2.37
870,0.9
970,2.38
770,1.62
860,1.42
740,1.52
1060,2.65
980,1.92
1070,0.66
1110,1.85
1040,2.36
1010,1.86
900,1.35
1040,2.8
1090,2.24
940,2.17
1140,3.22
880,2.02
930,1.52
900,2.27
880,2.85
950,2.62
1010,2.54
1090,3.76
980,1.71
1000,1.88
1010,2.54
1070,2.25
880,1.32
770,2.71
1160,2.67
1120,2.0
1020,3.26
750,1.51
950,2.33
1130,2.82
1010,3.51
920,1.0
970,3.27
1030,0.73
1040,3.17
1010,2.69
890,0.52
870,1.77
970,2.35
1100,2.06
1100,2.23
940,1.67
1290,3.16
880,2.24
930,2.71
1160,3.98
840,2.2
850,2.88
1110,3.0
850,1.55
1030,2.0
530,2.19
1210,3.86
1000,1.47
1210,3.94
950,1.37
1030,3.08
1180,1.95
1210,3.52
1030,1.74
1030,3.17
1170,2.67
1040,2.14
1050,2.54
1040,1.98
910,2.04
1060,1.7
1150,1.8
1440,4.0
1000,4.0
770,0.61
1060,3.34
1040,2.92
1150,3.62
1330,3.07
980,3.0
1040,2.43
830,3.11
1000,1.5
1030,2.58
930,2.24
950,1.96
1010,2.23
1040,2.24
1000,2.76
1010,2.59
930,1.68
850,2.92
1110,2.31
980,2.56
940,2.73
1120,3.11
870,1.83
940,2.88
960,3.14
970,1.87
970,2.27
1060,2.56
840,2.35
970,3.02
1100,2.44
1080,1.33
1080,1.13
1060,3.4
840,1.96
1020,1.96
1060,3.17
1030,1.6
1020,2.37
1050,1.43
1100,2.74
940,1.95
920,2.42
1000,3.04
1100,3.0
920,3.73
1030,3.17
1190,1.57
1120,1.71
1080,2.09
900,3.4
710,2.1
900,1.66
1030,3.16
1110,2.09
1060,3.6
1020,0.85
1160,1.88
990,2.53
1200,1.82
930,1.33
980,2.81
870,1.49
1040,2.51
1190,1.61
800,1.65
700,1.7
1040,3.13
1040,2.6
750,1.87
760,2.24
910,1.6
1050,2.98
980,3.6
970,1.43
1060,3.02
1000,3.15
860,2.0
790,1.57
720,1.78
1050,2.77
980,3.25
1140,3.3
790,1.13
1030,3.17
960,2.04
950,1.69
1060,1.8
1140,2.29
1290,3.41
740,2.0
1030,3.11
960,2.38
1080,2.62
1260,3.71
940,3.27
1030,2.4
1140,3.25
1160,1.98
1100,3.04
1010,2.8
1330,4.0
1060,1.78
1200,2.54
850,1.92
1300,3.48
1000,1.62
1070,2.56
1010,3.35
1070,2.0
850,1.97
1090,3.21
840,0.67
980,2.38
920,1.86
930,2.53
1100,1.44
1040,2.19
770,1.44
930,2.36
920,2.21
970,2.6
1020,0.36
1080,2.47
900,2.16
920,1.63
1040,1.83
1030,2.66
970,3.04
920,2.54
960,2.02
1100,1.49
1030,1.13
830,2.02
1010,2.9
950,1.81
1140,4.0
780,2.0
850,2.54
970,2.65
1350,3.43
920,2.91
1000,3.21
890,1.75
720,3.12
1140,2.09
1050,2.11
1060,2.56
970,2.56
930,1.24
1150,2.8
900,2.17
930,2.42
900,3.56
1080,3.24
1020,3.42
1180,2.53
940,2.38
950,2.24
880,2.12
1040,2.63
1010,1.98
1000,1.69
1170,2.47
1090,2.34
900,2.58
940,2.0
970,1.63
1070,3.37
910,1.64
1220,2.88
1200,3.12
1120,2.33
1190,2.45
940,2.22
1160,2.17
920,2.44
970,2.98
980,2.29
960,2.56
650,1.8
1030,2.43
1000,2.61
930,3.09
1000,2.53
1160,2.48
1210,3.94
1120,2.86
1160,2.31
840,2.18
1060,3.07
850,1.64
1120,2.7
860,2.08
1120,3.51
1100,3.63
830,1.63
1150,3.76
1040,2.96
880,2.83
750,1.36
1260,2.91
1070,2.65
930,2.56
1170,1.89
1070,2.04
1240,2.67
1260,3.29
970,1.74
850,2.98
990,2.28
920,1.21
920,1.24
1090,3.47
910,2.37
950,3.49
1030,1.41
1010,2.04
1180,3.49
1150,1.7
950,1.19
1010,3.63
990,2.98
1100,2.35
1050,2.38
1140,2.38
1010,2.4
890,1.92
990,2.86
1040,2.9
1010,3.44
1180,1.88
870,2.52
1020,1.17
1250,3.16
1020,1.64
900,2.17
720,1.62
1090,2.37
900,3.19
1000,2.29
1280,3.41
1190,3.24
1080,2.64
1090,3.35
970,1.87
1000,1.5
960,2.98
1210,2.95
1040,2.2
1220,3.11
910,3.12
990,2.69
1030,2.91
1140,2.67
1080,2.49
1110,2.98
1220,3.06
1130,2.18
1200,3.5
950,2.1
1040,3.8
1100,1.8
1040,2.14
980,3.4
930,2.66
1050,2.36
880,1.98
940,1.62
1090,2.03
1070,1.84
1170,2.02
1210,3.15
860,1.54
930,2.6
910,2.58
1120,3.11
730,1.19
1070,2.23
970,1.78
960,2.24
900,2.29
1040,2.38
830,0.95
980,2.05
900,2.49
1080,1.12
800,1.31
840,2.38
850,2.74
1120,4.0
1030,2.66
1140,2.96
1050,1.88
1020,1.4
1080,3.31
1000,3.3
1280,3.21
1010,3.22
910,2.28
920,2.52
1040,2.62
840,2.0
890,2.02
850,2.24
950,3.12
1040,2.28
1080,2.13
860,1.55
1180,2.4
1060,1.59
990,2.94
1160,2.29
1130,2.98
880,3.66
970,0.38
1210,2.65
1280,1.95
1040,3.06
1210,3.87
1030,2.64
980,2.54
810,2.42
1110,3.44
1300,3.91
1020,2.46
1170,2.79
890,1.79
1060,3.22
810,0.57
1310,3.48
1070,2.13
1290,3.18
950,3.81
1110,2.49
1190,1.87
1080,2.63
920,1.91
1010,3.1
1260,3.12
970,2.19
1250,3.21
1260,3.4
1120,2.37
1070,2.67
1160,3.59
760,1.93
1180,3.17
830,2.04
1220,1.96
940,2.07
790,2.35
1100,3.06
980,2.48
1090,2.58
1000,2.15
900,2.42
1210,2.09
1120,2.27
950,2.31
990,2.24
1030,1.92
850,1.73
1230,3.38
970,3.02
1040,2.29
880,1.33
1350,2.83
1110,3.34
870,1.51
1030,1.16
1210,1.94
1080,1.74
1050,2.17
1150,2.28
1130,2.75
1070,2.8
780,2.53
1260,2.43
880,1.84
1170,2.05
1110,2.48
1220,2.75
1120,3.24
900,2.69
1170,2.21
1370,3.49
890,2.24
1130,2.85
900,1.62
1180,3.03
900,3.1
860,1.59
1090,2.21
1270,2.43
1060,2.46
1160,2.96
1040,2.2
890,2.31
980,2.35
1230,2.57
940,3.04
910,2.14
1190,2.27
1090,1.83
1180,2.75
1030,1.87
1190,3.22
1070,3.1
1090,2.29
980,2.1
1040,2.96
970,0.47
950,2.88
1220,3.83
1060,1.6
910,2.23
940,3.07
1230,2.6
1030,1.15
1260,2.88
1250,3.71
910,3.41
1320,3.65
710,1.65
1110,2.15
1020,2.57
1440,3.66
1260,3.31
980,2.84
1040,1.83
1190,3.35
1170,1.35
950,3.1
1100,3.1
1000,2.19
910,3.35
1160,3.91
1060,1.83
700,1.29
1420,2.55
1000,2.68
860,2.96
950,2.45
1050,2.7
1160,2.24
740,2.04
1030,2.38
1020,1.79
910,2.0
980,2.24
890,1.63
700,1.13
970,1.73
1130,1.36
1100,2.81
880,1.17
1190,2.48
1180,1.98
990,1.72
1020,2.69
1060,2.98
1010,3.4
1410,3.48
